Year,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
2014,MIA,"1,732,283","21,386",27.4,26.4,100,101,0,2,12,"$42,365,400 ",3:05,27,19,70%,Redmond
2014,MIL,"2,797,384","34,536",28.8,29,103,103,0,4,15,"$109,567,000 ",3:07,27,17,62%,Roenicke
2014,MIN,"2,250,606","27,785",27.5,29.2,102,102,0,2,10,"$87,044,000 ",3:07,40,21,52%,Gardenhire
2014,NYM,"2,148,808","26,528",28.4,28.9,94,94,0,1,9,"$82,663,615 ",3:08,31,14,45%,Collins
2014,NYY,"3,401,624","41,995",32.8,29.3,100,100,1,3,19,"$258,118,959 ",3:12,30,24,80%,Girardi
2014,OAK,"2,003,628","24,736",29.6,28.2,98,97,0,6,16,"$89,160,900 ",3:05,26,14,53%,Melvin
2014,PHI,"2,423,852","29,924",30.8,30.1,101,102,0,1,12,"$176,444,967 ",3:09,32,14,43%,Sandberg
2014,PIT,"2,442,564","30,155",27.3,28.1,99,98,0,3,14,"$80,729,000 ",3:09,35,20,57%,Hurdle
2014,SDP,"2,195,373","27,103",27.9,28.8,92,92,0,2,6,"$76,662,100 ",3:01,33,17,51%,Black
2014,SEA,"2,064,334","25,486",27.5,29,95,95,0,4,10,"$95,471,000 ",2:59,35,20,57%,McClendon
2014,SFG,"3,368,697","41,589",28.6,31.7,95,94,0,3,16,"$163,510,167 ",3:05,35,22,62%,Bochy
2014,STL,"3,540,649","43,712",28.6,27.2,100,99,0,4,15,"$129,932,500 ",3:03,32,13,40%,Matheny
2014,TBR,"1,446,464","17,858",29.3,28.4,97,97,0,1,13,"$77,814,300 ",3:19,49,21,42%,Maddon
2014,TEX,"2,718,733","33,565",28.4,27.9,104,104,0,2,15,"$129,801,239 ",3:06,43,22,51%,Washington and Bogar
2014,TOR,"2,375,525","29,327",29.2,29.6,100,99,0,3,14,"$136,466,200 ",3:01,47,16,34%,Gibbons
2014,WSN,"2,579,389","31,844",28.8,28.3,104,102,0,2,15,"$137,235,080 ",3:05,32,21,65%,Williams
2013,ARI,"2,134,895","26,357",28.1,27.6,102,103,0,2,11,"$80,060,500 ",3:08,Gibson,,,
2013,ATL,"2,548,679","31,465",26.8,27.2,101,100,0,3,12,"$95,618,750 ",2:59,Gonzalez,,,
2013,BAL,"2,357,561","29,106",27.8,27.9,103,102,0,5,17,"$100,832,000 ",3:01,Showalter,,,
2013,BOS,"2,833,333","34,979",29.6,30.2,103,103,0,3,20,"$175,395,500 ",3:15,Farrell,,,
2013,CHC,"2,642,682","32,626",27.9,28.7,102,103,0,1,9,"$67,874,166 ",3:07,Sveum,,,
2013,CHW,"1,768,413","21,832",29.2,27.1,104,105,0,2,11,"$81,401,900 ",3:02,Ventura,,,
2013,CIN,"2,492,101","31,151",28.5,27.7,101,101,0,3,15,"$106,255,535 ",3:08,Baker,,,
2013,CLE,"1,572,926","19,419",28.7,27.5,95,95,0,2,16,"$87,342,433 ",3:03,Francona,,,
2013,COL,"2,793,828","34,492",27.7,28.3,118,119,0,3,12,"$73,768,000 ",3:05,Weiss,,,
2013,DET,"3,083,397","38,067",30,28.4,104,104,0,6,12,"$154,407,000 ",3:06,Leyland,,,
2013,HOU,"1,651,883","20,394",25.9,27.2,99,101,0,1,5,"$14,672,300 ",3:12,Porter,,,
2013,KCR,"1,750,754","21,614",26.9,28.9,103,103,0,3,16,"$87,426,250 ",2:55,Yost,,,
2013,LAA,"3,019,505","37,278",27.8,29.1,94,94,0,1,10,"$116,532,500 ",3:12,Scioscia,,,
2013,LAD,"3,743,527","46,216",30.6,28.1,96,95,0,1,21,"$254,161,000 ",3:07,Mattingly,,,
2013,MIA,"1,586,322","19,584",27.7,26,102,103,0,1,8,"$24,761,900 ",2:57,Redmond,,,
2013,MIL,"2,531,105","31,248",27.9,28.8,103,103,0,2,12,"$86,945,000 ",3:03,Roenicke,,,
